ontology_id,ontology_label,field_name,data_types,required,description
repair_strategy,修复策略,to_algorithm_id,null,False,替代算法标识。
scenario_profile,场景处境,activated_tasks,array,True,该场景默认激活的任务标识集合。
scenario_profile,场景处境,disaster_types,array,True,适用的灾种集合。
scenario_profile,场景处境,metadata,object,True,扩展元数据，承载运行状态、证据引用或领域补充信息。
scenario_profile,场景处境,preferred_output_fields,array,True,场景优先保留的输出字段。
scenario_profile,场景处境,profile_id,string,True,场景处境的稳定标识。
scenario_profile,场景处境,profile_name,string,True,场景处境名称。
scenario_profile,场景处境,qos_policy_id,string,True,默认 QoS 策略标识。
scenario_profile,场景处境,qos_priority,object,True,场景的质量维度权重。
task,任务,category,string,True,任务所属类别。
task,任务,description,string,True,实体的人类可读说明。
task,任务,metadata,object,True,扩展元数据，承载运行状态、证据引用或领域补充信息。
task,任务,task_id,string,True,任务的稳定标识。
task,任务,task_name,string,True,任务名称。
task_bundle,任务编排包,bundle_id,string,True,任务编排包的稳定标识。
task_bundle,任务编排包,bundle_name,string,True,任务编排包名称。
task_bundle,任务编排包,data_need_ids,array,True,任务包声明的数据需求标识。
task_bundle,任务编排包,metadata,object,True,扩展元数据，承载运行状态、证据引用或领域补充信息。
task_bundle,任务编排包,output_requirement_id,null;string,False,任务包的主要输出要求标识。
task_bundle,任务编排包,qos_policy_id,string,True,默认 QoS 策略标识。
task_bundle,任务编排包,repair_strategy_ids,array,True,契约允许采用的修复策略标识。
task_bundle,任务编排包,requested_tasks,array,True,任务包请求执行的任务标识。
task_bundle,任务编排包,requires_disaster_profile,boolean,True,是否必须有灾害场景处境才能使用。
workflow_pattern,工作流模式,disaster_types,array,True,适用的灾种集合。
workflow_pattern,工作流模式,job_type,string,True,适用的作业类型。
workflow_pattern,工作流模式,metadata,object,True,扩展元数据，承载运行状态、证据引用或领域补充信息。
workflow_pattern,工作流模式,pattern_id,string,True,工作流模式的稳定标识。
workflow_pattern,工作流模式,pattern_name,string,True,工作流模式名称。
workflow_pattern,工作流模式,steps,array,True,按顺序定义的算法执行步骤和依赖。
workflow_pattern,工作流模式,success_rate,number,True,算法或工作流的基线成功率。
