entity_id,ontology_id,ontology_label,label,description,conceptual_layers,agent_layers,properties_json
algo.fusion.road.safe,algorithm,算法能力,Road Fusion Safe Fallback (Deprecated),Road Fusion Safe Fallback (Deprecated) 用于 road_fusion，将 dt.road.bundle 转换为 dt.road.fused；工具引用为 adapters.road_adapter:run_road_fusion，基线成功率为 0.72。,data_algorithm_task_capability,reasoning_planning;audit_evolution,"{""accuracy_score"": 0.77, ""algo_id"": ""algo.fusion.road.safe"", ""algo_name"": ""Road Fusion Safe Fallback (Deprecated)"", ""alternatives"": [], ""input_types"": [""dt.road.bundle""], ""metadata"": {""claim_state"": ""deprecated"", ""deprecated_by"": ""algo.fusion.road.conflation.v7"", ""evidence_basis"": ""superseded_by_v7_profile_conservative"", ""runtime_status"": ""deprecated"", ""selectable_now"": false, ""selection_profile"": ""deprecated""}, ""output_type"": ""dt.road.fused"", ""stability_score"": 0.9, ""success_rate"": 0.72, ""task_type"": ""road_fusion"", ""tool_ref"": ""adapters.road_adapter:run_road_fusion"", ""usage_mode"": ""deprecated""}"
algo.fusion.road.v1,algorithm,算法能力,Road Fusion Legacy (Deprecated),Road Fusion Legacy (Deprecated) 用于 road_fusion，将 dt.road.bundle 转换为 dt.road.fused；工具引用为 adapters.road_adapter:run_road_fusion，基线成功率为 0.9。,data_algorithm_task_capability,reasoning_planning;audit_evolution,"{""accuracy_score"": 0.86, ""algo_id"": ""algo.fusion.road.v1"", ""algo_name"": ""Road Fusion Legacy (Deprecated)"", ""alternatives"": [], ""input_types"": [""dt.road.bundle""], ""metadata"": {""claim_state"": ""deprecated"", ""deprecated_by"": ""algo.fusion.road.conflation.v7"", ""evidence_basis"": ""superseded_by_v7_conflation"", ""runtime_status"": ""deprecated"", ""selectable_now"": false, ""selection_profile"": ""deprecated""}, ""output_type"": ""dt.road.fused"", ""stability_score"": 0.72, ""success_rate"": 0.9, ""task_type"": ""road_fusion"", ""tool_ref"": ""adapters.road_adapter:run_road_fusion"", ""usage_mode"": ""deprecated""}"
algo.fusion.water.v1,algorithm,算法能力,Water Polygon Fusion (Deprecated),Water Polygon Fusion (Deprecated) 用于 water_fusion，将 dt.water.bundle 转换为 dt.water.fused；工具引用为 adapters.water_adapter:run_water_fusion，基线成功率为 0.84。,data_algorithm_task_capability,reasoning_planning;audit_evolution,"{""accuracy_score"": 0.82, ""algo_id"": ""algo.fusion.water.v1"", ""algo_name"": ""Water Polygon Fusion (Deprecated)"", ""alternatives"": [], ""input_types"": [""dt.water.bundle""], ""metadata"": {""claim_state"": ""deprecated"", ""deprecated_by"": ""algo.fusion.water_polygon.priority_merge.v2"", ""evidence_basis"": ""superseded_by_polygon_priority_merge_v2"", ""runtime_scope"": ""uploaded_or_task_driven_auto"", ""runtime_status"": ""deprecated"", ""selectable_now"": false, ""selection_profile"": ""deprecated""}, ""output_type"": ""dt.water.fused"", ""stability_score"": 0.88, ""success_rate"": 0.84, ""task_type"": ""water_fusion"", ""tool_ref"": ""adapters.water_adapter:run_water_fusion"", ""usage_mode"": ""deprecated""}"
algo.fusion.water_polygon.priority_merge.v2,algorithm,算法能力,FusionCode Water Polygon Priority Merge,FusionCode Water Polygon Priority Merge 用于 water_fusion，将 dt.water.bundle 转换为 dt.water.fused；工具引用为 fusion_algorithms:_handle_water_polygon_priority_merge，基线成功率为 0.82。,data_algorithm_task_capability,reasoning_planning;audit_evolution,"{""accuracy_score"": 0.86, ""algo_id"": ""algo.fusion.water_polygon.priority_merge.v2"", ""algo_name"": ""FusionCode Water Polygon Priority Merge"", ""alternatives"": [], ""input_types"": [""dt.water.bundle""], ""metadata"": {""algorithm_family"": ""fusioncode_decomposed"", ""claim_state"": ""runtime_supported"", ""handler_name"": ""_handle_water_polygon_priority_merge"", ""runtime_status"": ""runtime_candidate"", ""selectable_now"": true, ""source_file"": ""MapTileTool/FusionTool/lake.py""}, ""output_type"": ""dt.water.fused"", ""stability_score"": 0.82, ""success_rate"": 0.82, ""task_type"": ""water_fusion"", ""tool_ref"": ""fusion_algorithms:_handle_water_polygon_priority_merge"", ""usage_mode"": ""balanced""}"
algo.fusion.waterways.conflation.v7,algorithm,算法能力,FusionCode V7 Waterways Conflation,FusionCode V7 Waterways Conflation 用于 water_fusion，将 dt.waterways.bundle 转换为 dt.waterways.fused；工具引用为 fusion_algorithms:_handle_waterways_conflation_v7，基线成功率为 0.82。,data_algorithm_task_capability,reasoning_planning;audit_evolution,"{""accuracy_score"": 0.86, ""algo_id"": ""algo.fusion.waterways.conflation.v7"", ""algo_name"": ""FusionCode V7 Waterways Conflation"", ""alternatives"": [], ""input_types"": [""dt.waterways.bundle""], ""metadata"": {""algorithm_family"": ""fusioncode_decomposed"", ""claim_state"": ""runtime_supported"", ""handler_name"": ""_handle_waterways_conflation_v7"", ""runtime_status"": ""runtime_candidate"", ""selectable_now"": true, ""source_file"": ""Algorithm/waterways_fusion_v7.py""}, ""output_type"": ""dt.waterways.fused"", ""stability_score"": 0.82, ""success_rate"": 0.82, ""task_type"": ""water_fusion"", ""tool_ref"": ""fusion_algorithms:_handle_waterways_conflation_v7"", ""usage_mode"": ""balanced""}"
algo.match.building.v8_candidate_graph.v1,algorithm,算法能力,FusionCode V8 Building Candidate Graph,FusionCode V8 Building Candidate Graph 用于 building_matching，将 dt.building.presence_validated_set、dt.building.normalized_set 转换为 dt.building.match_candidate_graph；工具引用为 fusion_algorithms:_handle_building_v8_candidate_graph，基线成功率为 0.82。,data_algorithm_task_capability,reasoning_planning;audit_evolution,"{""accuracy_score"": 0.86, ""algo_id"": ""algo.match.building.v8_candidate_graph.v1"", ""algo_name"": ""FusionCode V8 Building Candidate Graph"", ""alternatives"": [], ""input_types"": [""dt.building.presence_validated_set"", ""dt.building.normalized_set""], ""metadata"": {""algorithm_family"": ""fusioncode_decomposed"", ""claim_state"": ""runtime_supported"", ""handler_name"": ""_handle_building_v8_candidate_graph"", ""runtime_status"": ""runtime_candidate"", ""selectable_now"": true, ""source_file"": ""algorithm_core/models/matching_engine.py:generate_candidate_edges_v8""}, ""output_type"": ""dt.building.match_candidate_graph"", ""stability_score"": 0.82, ""success_rate"": 0.82, ""task_type"": ""building_matching"", ""tool_ref"": ""fusion_algorithms:_handle_building_v8_candidate_graph"", ""usage_mode"": ""balanced""}"
algo.match.building.v8_component_solver.v1,algorithm,算法能力,FusionCode V8 Building Component Solver,FusionCode V8 Building Component Solver 用于 building_matching，将 dt.building.match_candidate_graph 转换为 dt.building.match_components；工具引用为 fusion_algorithms:_handle_building_v8_component_solver，基线成功率为 0.82。,data_algorithm_task_capability,reasoning_planning;audit_evolution,"{""accuracy_score"": 0.86, ""algo_id"": ""algo.match.building.v8_component_solver.v1"", ""algo_name"": ""FusionCode V8 Building Component Solver"", ""alternatives"": [], ""input_types"": [""dt.building.match_candidate_graph""], ""metadata"": {""algorithm_family"": ""fusioncode_decomposed"", ""claim_state"": ""runtime_supported"", ""handler_name"": ""_handle_building_v8_component_solver"", ""runtime_status"": ""runtime_candidate"", ""selectable_now"": true, ""source_file"": ""algorithm_core/models/matching_engine.py:process_worker_v8""}, ""output_type"": ""dt.building.match_components"", ""stability_score"": 0.82, ""success_rate"": 0.82, ""task_type"": ""building_matching"", ""tool_ref"": ""fusion_algorithms:_handle_building_v8_component_solver"", ""usage_mode"": ""balanced""}"
algo.merge.building.tiles.reserved,algorithm,算法能力,Building Tile Merge Reserved,Building Tile Merge Reserved 用于 runtime_merge，将 dt.partition.tile_manifest 转换为 dt.building.fused；工具引用为 reserved:building_tile_merge，基线成功率为 0.0。,data_algorithm_task_capability,reasoning_planning;audit_evolution,"{""accuracy_score"": null, ""algo_id"": ""algo.merge.building.tiles.reserved"", ""algo_name"": ""Building Tile Merge Reserved"", ""alternatives"": [], ""input_types"": [""dt.partition.tile_manifest""], ""metadata"": {""claim_state"": ""reservation_only"", ""runtime_status"": ""reservation_only"", ""selectable_now"": false}, ""output_type"": ""dt.building.fused"", ""stability_score"": null, ""success_rate"": 0.0, ""task_type"": ""runtime_merge"", ""tool_ref"": ""reserved:building_tile_merge"", ""usage_mode"": ""reserved""}"
algo.optimize.building.conflict_graph.v1,algorithm,算法能力,FusionCode Building Conflict Graph Optimization,FusionCode Building Conflict Graph Optimization 用于 building_optimization，将 dt.building.road_topology_adjusted、dt.building.fused_raw 转换为 dt.building.conflict_optimized；工具引用为 fusion_algorithms:_handle_building_conflict_graph，基线成功率为 0.82。,data_algorithm_task_capability,reasoning_planning;audit_evolution,"{""accuracy_score"": 0.86, ""algo_id"": ""algo.optimize.building.conflict_graph.v1"", ""algo_name"": ""FusionCode Building Conflict Graph Optimization"", ""alternatives"": [], ""input_types"": [""dt.building.road_topology_adjusted"", ""dt.building.fused_raw""], ""metadata"": {""algorithm_family"": ""fusioncode_decomposed"", ""claim_state"": ""runtime_supported"", ""handler_name"": ""_handle_building_conflict_graph"", ""runtime_status"": ""runtime_candidate"", ""selectable_now"": true, ""source_file"": ""algorithm_core/models/spatial_optimizer.py:run_graph_optimization_v5""}, ""output_type"": ""dt.building.conflict_optimized"", ""stability_score"": 0.82, ""success_rate"": 0.82, ""task_type"": ""building_optimization"", ""tool_ref"": ""fusion_algorithms:_handle_building_conflict_graph"", ""usage_mode"": ""balanced""}"
algo.optimize.road.topology_for_buildings.v1,algorithm,算法能力,FusionCode Road Topology For Buildings,FusionCode Road Topology For Buildings 用于 building_optimization，将 dt.building.fused_raw、dt.road.network 转换为 dt.building.road_topology_adjusted；工具引用为 fusion_algorithms:_handle_building_road_topology，基线成功率为 0.82。,data_algorithm_task_capability,reasoning_planning;audit_evolution,"{""accuracy_score"": 0.86, ""algo_id"": ""algo.optimize.road.topology_for_buildings.v1"", ""algo_name"": ""FusionCode Road Topology For Buildings"", ""alternatives"": [], ""input_types"": [""dt.building.fused_raw"", ""dt.road.network""], ""metadata"": {""algorithm_family"": ""fusioncode_decomposed"", ""claim_state"": ""runtime_supported"", ""handler_name"": ""_handle_building_road_topology"", ""runtime_status"": ""runtime_candidate"", ""selectable_now"": true, ""source_file"": ""algorithm_core/models/spatial_optimizer.py:optimize_road_topology""}, ""output_type"": ""dt.building.road_topology_adjusted"", ""stability_score"": 0.82, ""success_rate"": 0.82, ""task_type"": ""building_optimization"", ""tool_ref"": ""fusion_algorithms:_handle_building_road_topology"", ""usage_mode"": ""balanced""}"
algo.partition.aoi.grid.v1,algorithm,算法能力,AOI Grid Partition Reserved,AOI Grid Partition Reserved 用于 runtime_partition，将 dt.raw.vector 转换为 dt.partition.tile_manifest；工具引用为 reserved:aoi_grid_partition，基线成功率为 0.0。,data_algorithm_task_capability,reasoning_planning;audit_evolution,"{""accuracy_score"": null, ""algo_id"": ""algo.partition.aoi.grid.v1"", ""algo_name"": ""AOI Grid Partition Reserved"", ""alternatives"": [], ""input_types"": [""dt.raw.vector""], ""metadata"": {""claim_state"": ""reservation_only"", ""runtime_status"": ""reservation_only"", ""selectable_now"": false}, ""output_type"": ""dt.partition.tile_manifest"", ""stability_score"": null, ""success_rate"": 0.0, ""task_type"": ""runtime_partition"", ""tool_ref"": ""reserved:aoi_grid_partition"", ""usage_mode"": ""reserved""}"
algo.preprocess.building.source_normalize.v1,algorithm,算法能力,FusionCode Building Source Normalize,FusionCode Building Source Normalize 用于 building_fusion，将 dt.building.source_set、dt.building.bundle 转换为 dt.building.normalized_set；工具引用为 fusion_algorithms:_handle_building_source_normalize，基线成功率为 0.82。,data_algorithm_task_capability,reasoning_planning;audit_evolution,"{""accuracy_score"": 0.86, ""algo_id"": ""algo.preprocess.building.source_normalize.v1"", ""algo_name"": ""FusionCode Building Source Normalize"", ""alternatives"": [], ""input_types"": [""dt.building.source_set"", ""dt.building.bundle""], ""metadata"": {""algorithm_family"": ""fusioncode_decomposed"", ""claim_state"": ""runtime_supported"", ""handler_name"": ""_handle_building_source_normalize"", ""runtime_status"": ""runtime_candidate"", ""selectable_now"": true, ""source_file"": ""algorithm_adapter.py:_parse_geometry_source_paths""}, ""output_type"": ""dt.building.normalized_set"", ""stability_score"": 0.82, ""success_rate"": 0.82, ""task_type"": ""building_fusion"", ""tool_ref"": ""fusion_algorithms:_handle_building_source_normalize"", ""usage_mode"": ""balanced""}"
algo.refine.building.post_conflict_shrink.v1,algorithm,算法能力,FusionCode Building Post Conflict Shrink,FusionCode Building Post Conflict Shrink 用于 building_optimization，将 dt.building.conflict_optimized 转换为 dt.building.conflict_optimized；工具引用为 fusion_algorithms:_handle_building_post_conflict_shrink，基线成功率为 0.82。,data_algorithm_task_capability,reasoning_planning;audit_evolution,"{""accuracy_score"": 0.86, ""algo_id"": ""algo.refine.building.post_conflict_shrink.v1"", ""algo_name"": ""FusionCode Building Post Conflict Shrink"", ""alternatives"": [], ""input_types"": [""dt.building.conflict_optimized""], ""metadata"": {""algorithm_family"": ""fusioncode_decomposed"", ""claim_state"": ""runtime_supported"", ""handler_name"": ""_handle_building_post_conflict_shrink"", ""runtime_status"": ""runtime_candidate"", ""selectable_now"": true, ""source_file"": ""algorithm_core/models/post_conflict_shrink_refiner.py""}, ""output_type"": ""dt.building.conflict_optimized"", ""stability_score"": 0.82, ""success_rate"": 0.82, ""task_type"": ""building_optimization"", ""tool_ref"": ""fusion_algorithms:_handle_building_post_conflict_shrink"", ""usage_mode"": ""balanced""}"
