record_id,decision_chain,knowledge_fragment,knowledge_nature,current_location,consumers,conflict_or_risk,risk_level,migration_owner,authoritative_kg_path_or_id,resolution_status,verification_method
"SRC-02","source","catalog bundle 组件、full closure、partial coverage 和 fallback edge","策略知识","kg/ontology/v1.0.0/policies.json#source_bundle_policies；services/source_acquisition_policy.py","local bundle catalog；source acquisition；degradation classifier","主要字典已迁移并由 registry 查询","高","KG","source_bundle_policies；catalog.*；SourceContract；fallback_source_ids","已迁移","改变 fallback_source_ids/required_full_closure 后采集路径变化；删除必要 bundle policy 时 fail closed；证据记录政策 ID"
"SRC-03","source","DataSource 实体、支持的数据类型、bundle/ref/component 拓扑和路径提示","领域知识","kg/ontology/v1.0.0/entities.json#data_sources；kg/source_catalog.py 兼容投影","repository；retriever；asset resolver；bundle provider","legacy source catalog 已改为从冻结实体派生，不再维护第二份实体清单","高","KG","DataSource；SUPPORTS；catalog.*；raw.*；entities.json#data_sources","已迁移","全仓 import/调用审计；修改 entities 后 memory/Neo4j 结果一致"
"SRC-04","source","waterways reference source 的身份和角色","领域知识/策略知识","kg/ontology/v1.0.0/entities.json；policies.json#source_role_policies,source_bundle_policies","bundle provider；data requirement resolver；quality/writeback","HydroRIVERS 是 portable reference，Pakistan local 仅为 AOI supplement；严格 closure 禁止跨 water-polygon fallback","高","KG","catalog.flood.waterways；reference_river_line -> raw.hydrorivers.water","已迁移","实体关系、角色政策、采集证据和质量期望统一引用 HydroRIVERS；禁止跨 water-polygon fallback"
"SRC-05","source","本地 bundle 的 building stop condition、补充源、fallback 和空覆盖规则","策略知识","kg/ontology/v1.0.0/policies.json#source_role_policies,source_bundle_policies；services/local_bundle_catalog.py","local bundle catalog；track B；input acquisition","已删除 building stop shortcut、任意 partial 兜底和 Overture 自动追加","高","KG","SourceContract；AcquisitionStrategy；source_bundle_policies；role completeness policy","已迁移","只改 KG stop/fallback 关系即可改变选择；严格 closure 失败；空覆盖产生 gap evidence"
"SRC-06","source","运行时 source alias、优先顺序、readiness required sources 和 writeback expected components","策略知识","kg/ontology/v1.0.0/policies.json#source_runtime_bindings,quality_component_policies；services/runtime_source_aliases.py；readiness；track B","fusion runners；readiness；quality writeback；track B","alias、priority、readiness、Track B 和 writeback expected components 均从冻结 source policy 派生","高","KG","source_runtime_bindings；source_role_policies；source_bundle_policies；quality_component_policies","已迁移","同一 task 的候选、readiness、fusion 和质量 lineage 从 KG 查询派生；全仓禁止重复 raw.* 顺序表"
"SRC-07","source","domain runner 的 base/supplement 选择、单源 fallback 和 POI priority","策略知识/执行算法","kg/ontology/v1.0.0/policies.json#source_role_policies,source_runtime_bindings；services/domain_fusion_runners.py","algorithm adapters；executor；quality gate","源角色、优先级与降级授权来自 KG；文件读取、几何处理和算法调用保留代码","高","KG","SourceRoleRequirement；AcquisitionStrategy；AcceptableDegradation；AlgorithmParameter","已迁移","变异 KG source roles/priority 后 runner 输入绑定变化；算法实现不变；禁止单源时必须拒绝或声明 gap"
"SRC-08","source","字段语义映射、provider probe order、国家覆盖差异，以及 URL/路径/凭据/超时","领域知识/运行配置/执行算法","services/source_field_profile_registry.py；services/source_asset_service.py","semantic contract；quality gate；asset resolver","字段语义事实与国家 override 应进 KG；URL、凭据和超时应进运行配置；探测/下载算法留代码，目前三者混杂","中","KG/运行配置/代码","FieldMappingProfile/SourceContract（待新增）；runtime source settings；DataSource authorization metadata","部分迁移","字段映射变异无需改代码；实验 manifest 固定 URL 版本和超时且不泄露凭据；下载器单元测试只验证机制"
"QUA-01","quality","任务输出字段、保留字段、空值阈值和产品契约关联","领域知识/策略知识","kg/ontology/v1.0.0/policies.json#output_contracts；services/output_contract_service.py","quality gate；artifact repair；run writeback","原输出契约字典已迁入冻结政策并通过 registry 构造对象","高","KG","output_contracts；contract.*.fused.v1；contract.product.*.v1；SPECIFIES_OUTPUT","已迁移","改变 required_fields/null threshold 后质量结果变化；删除 task contract 时 fail closed；report 记录 contract_id"
"QUA-02","quality","默认质量政策、检查模板、阈值、operator 和 severity","策略知识","kg/ontology/v1.0.0/policies.json#quality_policies,quality_check_templates；services/quality_policy_service.py","quality gate；run writeback；reports","主要 policy/check 常量已迁移，计算器仍在代码中","高","KG","quality.default.*.v1；QualityRequirement；QualityGate","已迁移","逐项阈值变异验证 pass/fail；缺少 topology template/policy 时 fail closed；质量报告记录政策 ID"
"QUA-03","quality","外部数据降级时的软化检查和 balance threshold 调整","策略知识","kg/ontology/v1.0.0/policies.json#quality_adaptation_policy；services/quality_policy_service.py:adapt_quality_policy_for_degradation","quality gate；degradation handling","策略参数已迁移；适配算法留在代码","中","KG","quality.external_degradation.v1；AcceptableDegradation","已迁移","改变 soft check 列表/threshold 后 adapted policy 变化；无 external degradation 时不适配；记录 adapted_from_policy_id"
"QUA-04","quality","期望几何类型、lineage 字段判定和多源 lineage 规则","策略知识/执行算法","kg/ontology/v1.0.0/policies.json#output_contracts；services/quality_gate_service.py","quality gate","期望几何和 lineage 字段由 output contract 派生；集合运算和 operator evaluator 保留代码","高","KG/代码","OutputContract.geometry_constraint；FieldRequirement；SourceRoleRequirement；QualityCheck","已迁移","变异契约后判定变化；通用 operator/集合计算测试保持不变"
"QUA-05","quality","sliver、超大文件 metadata-only、拓扑等 artifact evaluation 阈值","策略知识","kg/ontology/v1.0.0/policies.json#artifact_evaluation_policy；services/artifact_evaluation_service.py","artifact evaluator；quality gate","任务特定阈值和采样授权已进入政策，计算器保留代码","中","KG","artifact_evaluation.default.v1；QualityCheck/MetricDefinition/Threshold","已迁移","阈值和采样授权可由 policy ID 查询；边界值参数化测试；报告包含 policy identity"
"QUA-06","quality","质量失败后自动 artifact repair 的触发条件和期望 source components","策略知识/执行算法","kg/ontology/v1.0.0/policies.json#quality_component_policies；services/run_writeback_service.py","run writeback；artifact repair；evidence trace","expected components 与 repair allow-list 已由 KG/产品契约决定","高","KG","ProductContract.repair_strategy_ids；QualityComponentPolicy；RecoveryRule","已迁移","删除契约 repair 授权后不得修复；改变 expected sources 后 lineage 检查同步变化；repair trace 引用策略 ID"
"HEA-01","healing","故障类别集合、状态归一化、可恢复性和指数退避参数","策略知识","kg/ontology/v1.0.0/policies.json#fault_policy；services/source_acquisition_policy.py","source acquisition；scenario failure handler；recovery worker","核心列表和 retry 参数已由 registry 加载；分类文本规则仍另存","高","KG","fault_policy；FailureClass（schema 目标）；RetryPolicy","已迁移","变异 recoverable_faults/status_normalization/retry 参数后运行决策变化；缺失 fault_policy 时 fail closed"
"HEA-02","healing","异常文本到 FailureClass 的映射词表","领域知识/解析算法","kg/ontology/v1.0.0/policies.json#fault_policy；schemas/failure_taxonomy.py；source/agent/scenario consumers","source acquisition；scenario handler；run recovery","异常类型、词法 pattern、source mode 和状态归一化集中于 fault_policy，消费者共用同一分类器","高","KG/代码","fault_policy.failure_classes,exception_type_matches,message_patterns,source_mode_by_fault；解析器保留代码","已迁移","同一标准故障语料经各入口得到同一类别；新增 alias 只改 KG；未知文本进入明确 unknown/manual review"
"HEA-03","healing","按 phase、checkpoint、failure category 选择 recovery action","策略知识","kg/ontology/v1.0.0/policies.json#recovery_policy；services/run_recovery_service.py","recovery worker；scenario failure handler","矩阵已迁入 registry；运行逻辑按政策遍历","高","KG","recovery.default.v1；RecoveryRule","已迁移","逐条 phase/stage/category 决策表测试；删除匹配规则走 default_unmatched_action；报告 policy_id"
"HEA-04","healing","executor 的 alternative source、alternative algorithm、transform insertion 顺序与适用前提","策略知识","kg/ontology/v1.0.0/policies.json#recovery_policy.executor_strategy_order；agent/executor.py","executor；repair trace","executor 按 KG 顺序执行产品契约与全局政策共同授权的策略","高","KG","RepairStrategy；executor_strategy_order；recovery.default.v1.authorized_strategy_ids","已迁移","改变 KG strategy order 后执行 trace 顺序改变；删除授权策略时不执行；无适用策略时 fail closed/manual review"
"HEA-05","healing","alternative source 的实际切换机制","执行算法","agent/executor.py；上游 input acquisition","executor；input acquisition","候选源知识只在 KG；executor 禁止仅改 source ID，并要求上游重新材料化；K4 已完成故障注入","高","代码","KG 仅提供 FallbackEdge；执行机制无 KG ID","执行机制已验收","K4 故障注入验证新 source artifact/hash，旧 artifact 未被重新标注"
"HEA-06","healing","schema backfill、road name、line topology、geometry validity 的顺序和前提","策略知识/执行算法","kg/ontology/v1.0.0/policies.json#recovery_policy.artifact_strategy_order；services/artifact_repair_service.py","run writeback；quality gate","策略顺序和任务适用性由 KG 控制，几何和字段变换实现保留代码","高","KG/代码","RepairStrategy；artifact_strategy_order；StrategyPrecondition；QualityGateResult","已迁移","KG 改变顺序/禁用项后 repair trace 变化；各变换函数做独立性质测试；修复后必须重过同一质量 policy"
"HEA-07","healing","产品契约对 repair strategy 的授权及运行绑定","策略知识","entities.json#product_contracts[*].repair_strategy_ids；agent/executor.py；services/run_writeback_service.py","planner；executor；run writeback","executor/writeback 已对 plan、产品契约和全局政策取授权交集","高","KG","contract.product.*.v1 -> repair.*；AUTHORIZES_REPAIR","已迁移","删除某 contract 的 repair ID 后相应恢复必须被拒绝；计划和 trace 固化 contract/release/strategy ID"
"HAZ-01","hazard","灾害类型、中文英文别名、ScenarioProfile、默认 TaskBundle 和任务集合","领域知识","kg/ontology/v1.0.0/policies.json#disaster_vocabulary；entities.json#scenario_profiles,task_bundles","trigger normalizer；mission compiler；retriever","洪水、地震、台风、generic 已进入冻结发布，并被主要编译链消费","高","KG","disaster_vocabulary；scenario.*.default；task_bundle.*.emergency_vector","已迁移","别名变异影响归一化；删除 alias 不再识别；删除 profile/bundle 引用时 schema/运行 fail closed"
"HAZ-02","hazard","地点别名和救援组织词汇","领域知识","kg/ontology/v1.0.0/policies.json#place_vocabulary,rescue_organization_terms；services/scenario_trigger_normalizer.py","trigger normalizer；AOI resolution input","原局部常量已由 registry 枚举；地点覆盖仍很小，应视限定案例词表而非通用 gazetteer","中","KG","place_vocabulary；PlaceAlias/GazetteerMapping；rescue_organization_terms","已迁移","每个 alias 归一到固定 canonical/country_code；未知地点不伪造匹配；限定案例清单进入发布说明"
"HAZ-03","hazard","死亡、受伤、失踪数量的文本抽取","执行算法","services/scenario_trigger_normalizer.py:_extract_casualties","trigger normalizer；scenario context","正则是解析机制，可留代码；输出字段语义必须稳定，不能把测试覆盖误作灾害知识完整性","低","代码","DisasterEvent.casualty_summary 字段；抽取算法无独立 KG ID","保留代码","中英文边界和否定/多数字段单元测试；输出 schema 校验；不改变 KG semantic_hash"
"HAZ-04","hazard","AOI 查询中需要剥离的灾害词和行政区后缀别名","领域知识/解析算法","kg/ontology/v1.0.0/policies.json#aoi_resolution_policy,disaster_vocabulary；services/aoi_resolution_service.py","AOI resolver","灾害清洗词、行政区前缀/后缀和候选类型由 registry 提供；字符串清洗与空间匹配保留代码","中","KG/代码","aoi_resolution_policy；disaster_vocabulary；PlaceAlias/GazetteerMapping","已迁移","AOI resolver 从 registry 获取术语；同一触发文本的 hazard 和 location 归一结果一致；未知词不误删地名"
"HAZ-05","hazard","agent run 的灾害推断与数据源灾害兼容性","领域知识/策略知识","kg/ontology/v1.0.0/policies.json#disaster_vocabulary,intent_boundary_policy；agent intent/mission/run consumers","source selection；planning decision","所有入口通过 registry 识别灾种；未收录的 wildfire、hurricane、conflict 明确 fail closed","高","KG","disaster_vocabulary；intent.boundary.v1；DataSource.disaster_types；SourceContract","已迁移","v1 明确排除 hurricane、wildfire、conflict；所有入口只认同一 registry；未收录灾种必须明确拒绝"
"MAN-01","manifest/backend","冻结发布索引、文件哈希、semantic hash 和 experience snapshot hash","发布治理","kg/ontology/v1.0.0/release.json；kg/knowledge_release.py","policy registry；seed provider；实验 manifest/verifier","发布文件已可做逐文件和语义哈希校验；尚需由所有入口强制调用","高","KG","release:fusionagent-kg-v1.0.0；C-RELEASE-IMMUTABLE；C-EXPERIENCE-SEPARATE","已迁移","verify_release 成功；任一文件改变一字节后失败；semantic_hash 与三个 canonical payload 重算一致"
"MAN-02","manifest/backend","静态实体和 CAN_TRANSFORM_TO 的唯一 manifest","发布治理/领域知识","kg/ontology/v1.0.0/entities.json#transform_edges；kg/seed_provider.py；kg/seed_manifest.py","InMemory repository；repository seed loader","seed provider 已默认读取 entities.json，transform edge 不再回退 Python seed","高","KG","entities.json#transform_edges；CAN_TRANSFORM_TO；C-REF-CLOSED","已迁移","修改/删除 transform edge 后 memory traversal 随之变化；篡改 content_hash 或悬空端点时加载失败"
"MAN-03","manifest/backend","冻结 policy 的类型化查询与缺失知识 fail-closed","发布治理/执行机制","kg/policy_registry.py；kg/ontology/v1.0.0/policies.json","mission、task semantics、retrieval、source、quality、recovery consumers","默认 registry 会验证 release；自定义 path 返回 unverified identity，仅应服务测试或显式实验","高","代码/KG","KnowledgePolicyRegistry；runtime_gates.missing_required_knowledge=fail_closed","已迁移","每个 required section 缺失时抛 KnowledgeReleaseError；默认路径先验 release hash；运行证据记录 knowledge_identity"
"MAN-04","manifest/backend","Neo4j bootstrap 的知识输入","发布治理","kg/bootstrap.py；kg/seed_provider.py:load_seed_data","Neo4j bootstrap；Neo4j repository","bootstrap 与 memory 均从冻结 entities 加载，不再 import Python seed 真源","高","KG","release:fusionagent-kg-v1.0.0/entities.json；REFERENCES_RELEASE","已迁移","bootstrap 只读 frozen release；同一 release 导入后节点、边、ID、semantic hash 与 memory 完全一致"
"MAN-05","manifest/backend","Neo4j 不可用或 backend 未知时的 fallback","运行策略","kg/factory.py:create_kg_repository；policies.json#runtime_gates.backend_fallback","所有 KG consumers","strict/research 初始化失败和未知 backend 均明确失败，不再静默回退","高","运行配置/代码","runtime_gates.backend_fallback=forbidden_in_strict_mode；GEOFUSION_KG_BACKEND","已迁移","strict/research mode 下 Neo4j 配置缺失/连接失败/未知 backend 均非零失败；显式 memory 才可启动"
"MAN-06","manifest/backend","memory 与 Neo4j 的 release/version/hash 身份绑定","发布治理","kg/inmemory_repository.py；kg/neo4j_repository.py；kg/bootstrap.py","planner；validator；evidence writer","两类 repository 均绑定 release identity；真实 Neo4j parity 属 P0-K4 行为验收","高","KG/代码","KnowledgeRelease；REFERENCES_RELEASE；release_id/semantic_hash properties","已迁移","双后端 parity 测试；启动时检查 release_id/semantic_hash；不匹配 fail closed；每个 plan/manifest 固化身份"
"MAN-07","manifest/backend","validator 和 plan grounding 的默认执行模式","运行策略","kg/ontology/v1.0.0/policies.json#runtime_gates；agent/validator.py；services/agent_run_service.py","validator；agent run；executor","无环境变量时从冻结 runtime gate 读取 enforce；report 仅允许显式诊断配置","高","KG/运行配置/代码","runtime_gates.validator_mode=enforce；runtime_gates.grounding_mode=enforce；C-STRICT-REQUIRED","已迁移","不设环境变量时必须 enforce；删除必要 KG 关系后规划/执行被拒绝；report 仅允许显式非研究诊断模式"
"MAN-08","manifest/backend","动态经验与基础 KG 的隔离及跨后端一致性","策略知识/运行证据","release.json#experience_snapshot_hash；repository experience_policy","retriever；policy engine；durable learning","strict/research 已固定 pinned snapshot 并隔离自适应反馈；双后端一致性属 P0-K4 行为验收","高","KG/运行配置/代码","C-EXPERIENCE-SEPARATE；experience_snapshot_hash；runtime_gates.experience_policy","已迁移","固定 snapshot 的独立进程/双后端语义计划哈希一致；无 pin 时研究运行拒绝；反馈不得改变 semantic_hash"
